nconst,director_name,director_star_power,director_movies,director_avg_budget,director_avg_revenue,director_avg_roi,director_avg_rating,director_success_rate
nm0000431,Taylor Hackford,1.3333333333333333,3,17.65854071333404,18.17084086655818,1.0300394932487296,6.733333333333333,0.3333333333333333
nm0000436,Curtis Hanson,1.3333333333333333,3,17.59209561539808,18.368556771313816,1.2072351369310779,6.766666666666667,0.3333333333333333
nm0000466,Jean-Pierre Jeunet,1.3333333333333333,3,17.04763164905618,18.002215225524193,1.950857827323603,7.466666666666666,0.3333333333333333
nm0000487,Ang Lee,2.6666666666666665,6,17.83189359673468,19.21176727154062,1.9688900646320877,7.233333333333333,0.6666666666666666
nm0000490,Spike Lee,1.3333333333333333,6,16.986595760954167,17.454950852982122,0.9640784099480215,6.516666666666667,0.3333333333333333
nm0000500,Richard Linklater,2.0,10,16.26219608151216,17.08709086462653,1.5234214000668571,7.220000000000001,0.5
nm0000520,Michael Mann,1.6,5,18.373589146900695,18.76243929621051,0.9413328802982799,6.540000000000001,0.4
nm0000568,Frank Oz,1.3333333333333333,3,17.834892099676992,18.286651452158527,1.2995056785833474,6.5,0.3333333333333333
nm0000583,Wolfgang Petersen,2.6666666666666665,3,18.858935681335133,19.63245135520229,1.1533708866603165,6.5,0.6666666666666666
nm0000591,Roman Polanski,1.0,4,17.47264133957008,17.96537616046527,0.998046752088082,7.4,0.25
nm0000600,Sam Raimi,3.3333333333333335,6,18.753575166394153,20.06320974350223,1.4675621725349082,6.8,0.8333333333333334
nm0000601,Harold Ramis,0.0,4,17.6441519761925,17.813257968839327,0.7506859430651135,5.8,0.0
nm0000602,Robert Redford,1.0,4,17.385043282614657,17.36917470961584,1.4452407003025045,6.550000000000001,0.25
nm0000631,Ridley Scott,1.8461538461538463,13,18.406737848123758,19.380429974973516,1.2853336005460538,7.1,0.46153846153846156
nm0000694,Wim Wenders,0.0,3,16.1508855705555,14.389205811042249,0.1494104899138488,5.933333333333334,0.0
nm0000709,Robert Zemeckis,2.2857142857142856,7,18.407740242806877,19.35591209080045,1.386543372290607,6.957142857142856,0.5714285714285714
nm0000759,Paul Thomas Anderson,1.0,4,17.05418904934434,17.405559511333752,0.885685897807029,7.3,0.25
nm0000783,Dario Argento,0.0,3,15.717618233614914,14.594609874160195,0.5482281941860729,4.8,0.0
nm0000801,Olivier Assayas,0.0,4,15.964361667634346,15.467931089088248,0.37967024576112646,6.550000000000001,0.0
nm0000876,Noah Baumbach,1.0,4,16.268668595459197,16.057061489041786,1.229093418968897,6.425,0.25
nm0000881,Michael Bay,3.5,8,18.80594315154573,20.20126905710247,1.5589381504438735,6.375,0.875
nm0000916,Peter Berg,2.0,6,18.393652081838418,19.201942254206475,1.1842740958758193,6.75,0.5
nm0000941,Kathryn Bigelow,2.0,4,17.570879776738856,17.94211617420352,1.0356551853188993,6.85,0.5
nm0000965,Danny Boyle,1.5,8,16.975167065612823,18.35109441068752,1.905611158555621,7.2125,0.375
nm0001024,Nick Cassavetes,4.0,5,17.179352187684735,18.50273923395548,1.5410460693936983,7.0200000000000005,1.0
nm0001053,Ethan Coen,4.0,6,17.05418904934434,18.614961738230075,1.7227709850757833,7.233333333333333,1.0
nm0001054,Joel Coen,3.111111111111111,9,17.175114077076625,18.46352641745236,1.5477894453667898,7.211111111111112,0.7777777777777778
nm0001060,Chris Columbus,2.6666666666666665,6,18.167936735737403,19.795031849145825,1.5888032802674559,6.5,0.6666666666666666
nm0001068,Sofia Coppola,0.8,5,16.496532155171714,17.622105494341803,2.111757516972558,6.659999999999999,0.2
nm0001081,Cameron Crowe,1.6,5,17.811874730208523,18.313697824019293,0.9405564404872169,6.7,0.4
nm0001093,John Dahl,0.0,3,17.389727131795453,16.64001230127135,0.6343383280654287,6.533333333333334,0.0
nm0001112,Andrew Davis,2.6666666666666665,3,17.46183042374637,18.217186822119654,1.7340025775470371,6.466666666666666,0.6666666666666666
nm0001129,Jonathan Demme,1.3333333333333333,3,17.41737866236131,17.756245813234816,0.9693477722062397,6.433333333333334,0.3333333333333333
nm0001219,Gary Fleder,1.6,5,17.562658943787092,17.72896220240156,0.8018480988192501,6.659999999999999,0.4
nm0001241,Stephen Frears,1.3333333333333333,6,16.86280697005756,17.758506375159865,1.4663227618049093,6.716666666666666,0.3333333333333333
nm0001243,William Friedkin,1.0,4,17.289028632213807,17.19959007811913,0.7291235912690539,6.325,0.25
nm0001282,Tony Goldwyn,0.0,3,16.733281344102608,16.912121493658322,0.7609476888072966,6.566666666666666,0.0
nm0001317,Renny Harlin,0.0,8,17.616602025031508,17.356060392375053,0.5678601483776431,5.35,0.0
nm0001331,Todd Haynes,2.6666666666666665,3,16.530205368010318,17.01147488078924,1.0719448179867186,7.133333333333333,0.6666666666666666
nm0001338,Brian Helgeland,1.0,4,17.535161694987387,18.016766996861175,0.9393579501821471,6.625,0.25
nm0001348,Werner Herzog,0.0,3,16.628921334724307,15.680060914116,0.3477108885759552,6.5,0.0
nm0001353,Walter Hill,0.0,3,17.822843761378564,16.387207942346606,0.3086130582576066,5.566666666666666,0.0
nm0001382,Peter Hyams,0.0,3,17.693632032406395,16.481404101130977,0.2872164378107957,4.966666666666666,0.0
nm0001392,Peter Jackson,3.5,8,18.896914929159916,20.516861333413086,1.9617941943274628,7.9375,0.875
nm0001401,Angelina Jolie,1.3333333333333333,3,17.1595495610806,17.83747333423869,0.6792187037640026,5.733333333333333,0.3333333333333333
nm0001403,Neil Jordan,0.0,3,17.2386868789539,16.988634478473777,0.3256427217970147,6.666666666666667,0.0
nm0001438,Neil LaBute,0.8,5,17.073607134447293,17.249336594623873,0.8167782302691737,5.66,0.2
nm0001469,Barry Levinson,0.6666666666666666,6,17.19990085520835,16.935679850614022,0.5736173157104417,5.716666666666666,0.16666666666666666
nm0001502,Luis Mandoki,0.0,3,17.189907585920675,16.534817584818263,0.4112092073348589,6.166666666666667,0.0
nm0001565,Mike Newell,1.0,4,18.576187655110576,19.65777322129151,1.2319703538138824,6.8,0.25
nm0001566,Mike Nichols,1.3333333333333333,3,17.804494623047066,18.234706427948993,1.1103296576420556,6.6000000000000005,0.3333333333333333
nm0001661,Rob Reiner,0.8,5,17.38222240635259,17.940404066377777,0.9078740964952539,6.38,0.2
nm0001674,Chris Rock,1.3333333333333333,3,16.780783675579947,17.062026802464885,0.9095539248049861,5.8,0.3333333333333333
nm0001675,Robert Rodriguez,2.3333333333333335,12,17.360086551352644,18.245257530779487,1.2715472481270143,5.616666666666667,0.5833333333333334
nm0001681,George A. Romero,2.6666666666666665,3,15.76142084987672,16.687211975063665,1.0991971768469255,5.5,0.6666666666666666
nm0001707,Paul Schrader,0.0,4,16.284668935440216,13.584261117517995,0.30798928268368064,5.35,0.0
nm0001708,Joel Schumacher,1.7142857142857142,7,17.374931973296608,17.89876302977376,1.103576494412875,6.471428571428571,0.42857142857142855
nm0001716,Tony Scott,0.6666666666666666,6,18.258161826219297,18.701814809925704,0.9262732542104837,6.833333333333333,0.16666666666666666
nm0001723,Tom Shadyac,1.3333333333333333,3,18.46947091764561,19.284071278430012,1.2925563255453716,6.1000000000000005,0.3333333333333333
nm0001741,Bryan Singer,2.6666666666666665,6,18.85678282798794,19.737604472063833,1.302902120761307,7.016666666666667,0.6666666666666666
nm0001752,Steven Soderbergh,1.8823529411764706,17,17.515068116770085,18.630426435667186,1.4746566830653105,6.529411764705882,0.47058823529411764
nm0001756,Barry Sonnenfeld,2.0,4,18.54951362458654,19.515427939428562,1.1027756075427202,6.25,0.5
nm0001774,Ben Stiller,4.0,3,18.064005814299346,18.814111769860244,1.140854504411457,6.966666666666666,1.0
nm0001814,Gus Van Sant,1.0,8,16.346226823385557,16.823670011999788,0.8515778048015473,6.6875,0.25
nm0001878,David Zucker,2.6666666666666665,3,17.370858648025116,18.72419640099031,1.4446902082517592,4.8999999999999995,0.6666666666666666
nm0001880,Edward Zwick,1.6,5,17.977513784236514,18.875613555537246,1.1183319495443513,7.32,0.4
nm0001885,Lars von Trier,2.0,8,15.876024217147117,16.36474898877058,1.1253993584036368,7.1,0.5
nm0002044,Roger Donaldson,2.0,6,17.336957097334658,17.605684903022834,0.9560007146129353,6.883333333333333,0.5
nm0002120,Lasse Hallström,2.4,10,17.00763168660829,17.956935215083956,1.3140619079584246,6.92,0.6
nm0002191,Jacques Audiard,0.0,3,16.266515742283485,16.6858658912668,0.9162826336936793,7.466666666666666,0.0
nm0002653,Joe Johnston,2.0,4,18.60923285877853,19.325054790334615,1.1498871808151674,6.375,0.5
nm0002700,Malcolm D. Lee,1.6,5,17.126053607854647,17.718672172988335,1.1855719433458407,5.62,0.4
nm0003160,Christopher McQuarrie,4.0,3,18.103684297561784,19.541426318726486,1.4996100068927665,7.0,1.0
nm0003418,Rob Cohen,2.857142857142857,7,17.983282604227917,18.871479977532836,1.6633432096650271,5.5,0.7142857142857143
nm0003506,James Mangold,2.6666666666666665,6,18.005165315142214,19.027279196847612,1.4049801587508917,7.016666666666667,0.6666666666666666
nm0003620,Kevin Smith,0.5714285714285714,7,16.681784821191947,17.152099991316945,1.0213622374256448,6.257142857142857,0.14285714285714285
nm0004056,Andrew Stanton,2.6666666666666665,3,18.978389959342397,20.181836321117146,1.736725064665733,7.733333333333333,0.6666666666666666
nm0004303,Gavin Hood,1.6,5,17.921454272504192,18.51952037518152,1.0483150305119298,6.88,0.4
nm0004306,George Miller,2.6666666666666665,3,18.657069529911332,19.534291564633882,1.2552409587923532,6.766666666666667,0.6666666666666666
nm0004363,Rakesh Roshan,4.0,3,16.075536140887344,17.41737866236131,1.4714521694601974,6.366666666666667,1.0
nm0004410,Mark Neveldine,1.6,5,17.229953199271186,17.73807262388058,0.9994526885694208,5.5600000000000005,0.4
nm0004716,Darren Aronofsky,2.4,5,17.418287340272755,18.83863778067906,2.146502270572899,7.42,0.6
nm0005069,Spike Jonze,1.3333333333333333,3,17.672725348024187,17.9114769709418,0.9537759646896659,7.433333333333334,0.3333333333333333
nm0005139,Mike Leigh,2.0,4,15.898072351590939,16.39890258748186,1.127451517041003,7.375,0.5
nm0005190,Garry Marshall,2.6666666666666665,6,17.565014657424058,18.621364584328123,1.334185364416239,5.933333333333334,0.6666666666666666
nm0005222,Sam Mendes,2.6666666666666665,6,18.499183814685303,19.789811509666144,1.2923556791305928,7.25,0.6666666666666666
nm0005363,Guy Ritchie,1.1428571428571428,7,17.96767470680554,18.85962755805779,1.0274529041474874,6.771428571428571,0.2857142857142857
nm0005366,Jay Roach,2.0,6,17.95599629209935,19.22682698332585,1.4695917144491386,6.516666666666667,0.5
nm0005367,Brian Robbins,0.6666666666666666,6,17.399029524198163,17.94328525140904,1.5000651686510362,5.25,0.16666666666666666
nm0005436,John Singleton,3.2,5,17.590567731255042,18.512019902404834,1.2050150431783169,6.08,0.8
nm0005509,Jon Turteltaub,2.4,5,18.36516804459293,19.350256900452806,1.3832815553802478,6.44,0.6
nm0005540,Keenen Ivory Wayans,3.0,4,17.535161694987387,18.88496065518187,1.8890695479923978,5.55,0.75
nm0005563,Irwin Winkler,0.0,3,16.52356082573315,16.47351613505789,0.6234915994501072,6.533333333333334,0.0
nm0005647,Andrzej Bartkowiak,2.4,5,17.468762860341794,17.904371998645836,1.068020811392714,5.279999999999999,0.6
nm0006476,Paul McGuigan,1.0,4,17.334491004912444,17.46081948468512,0.7748244969889516,6.675,0.25
nm0006487,Jim Sheridan,0.0,3,17.470488486264596,17.583870492500854,0.7935697430310574,6.233333333333333,0.0
nm0006554,Rodrigo García,0.0,3,16.4057777984101,15.170901540805264,0.37289188563514775,6.566666666666666,0.0
nm0006854,Roger Spottiswoode,0.0,3,17.620385198632558,17.388669750564627,0.42805291534843015,6.3,0.0
nm0006904,Tony Gilroy,2.6666666666666665,3,18.087536311377317,18.82117355286666,1.2188911757554377,6.633333333333333,0.6666666666666666
nm0006960,John Madden,2.4,5,16.96824662306297,18.069037661793402,1.8686088980333113,6.6,0.6
nm0007082,John Stockwell,0.5714285714285714,7,16.932195486239724,16.74200890036652,0.6068879173451451,5.571428571428571,0.14285714285714285
nm0007139,Hark Tsui,0.8,5,16.410765339548004,16.31576922681392,0.740717033087525,5.4399999999999995,0.2
nm0009190,J.J. Abrams,4.0,5,18.871756369682007,20.389476808021595,1.6616163448383303,7.44,1.0
nm0011470,Andrew Adamson,3.0,4,18.850838471154965,20.28815101823591,1.8076454812069855,7.175000000000001,0.75
nm0012541,Nikkhil Advani,0.8,5,15.86963441986494,15.961399898512905,0.8682398104481424,5.62,0.2
nm0014960,Alexandre Aja,4.0,4,16.766506989964455,17.873812657706104,1.428701640625921,6.175,1.0
nm0015295,Zoya Akhtar,1.0,4,15.955576839107596,17.664061161747448,1.9466716748448587,7.225,0.25
nm0015359,Fatih Akin,2.6666666666666665,3,15.830413711839864,16.54401088910581,1.4589302601658922,7.033333333333334,0.6666666666666666
nm0019242,Daniel Alfredson,2.6666666666666665,3,15.51417978705313,17.423192284848547,2.273248074270355,6.566666666666666,0.6666666666666666
nm0023355,Christian Alvart,0.0,3,16.84241849745198,16.639652765738955,0.5440279456774756,6.6000000000000005,0.0
nm0024622,Alejandro Amenábar,2.0,4,17.21508999813136,18.168568413861028,1.6684271093480283,7.05,0.5
nm0026442,Brad Anderson,0.8,5,16.001561947061912,16.660251125209385,0.9971329899285881,6.44,0.2
nm0027271,Paul W.S. Anderson,2.2857142857142856,7,17.974393656948944,18.914423057947435,1.31160353694906,5.857142857142857,0.5714285714285714
nm0027572,Wes Anderson,2.0,6,17.177042717916077,18.063913693390997,1.3380638423978524,7.633333333333333,0.5
nm0030417,Hideaki Anno,4.0,3,16.118095750958314,17.59775178739894,1.6411924630712995,7.433333333333334,1.0
nm0030735,Nimród Antal,1.6,5,16.785925074816024,17.477669918787193,1.0427055649245767,6.6,0.4
nm0031976,Judd Apatow,3.2,5,17.50937757846487,18.75414245061525,1.673369269257246,6.540000000000001,0.8
nm0037708,Miguel Arteta,3.0,4,16.42281926299767,17.35927255229875,1.356304014360233,6.4,0.75
nm0038432,Kelly Asbury,2.6666666666666665,3,18.30039458935606,19.84597985901059,1.6763609385003124,6.833333333333333,0.6666666666666666
nm0043742,David Ayer,3.2,5,17.088874605995333,18.096332645633133,1.5234132228948247,6.9,0.8
nm0044803,Jamie Babbit,1.3333333333333333,3,13.848301348528732,13.81547789076404,0.6257504749983124,6.133333333333333,0.3333333333333333
nm0049371,Jaume Balagueró,2.0,6,15.511126350125648,16.681118485456363,1.859688070993609,6.3,0.5
nm0049592,Marius Vaysberg,2.6666666666666665,3,15.391047125619224,16.090771729509235,1.2175825252601806,3.8333333333333335,0.6666666666666666
nm0053228,Ernie Barbarash,1.3333333333333333,3,15.712630692850144,17.642520820529608,1.9082769732984945,5.666666666666667,0.3333333333333333
nm0063357,Anees Bazmee,1.6,5,17.75281139007747,16.470050032553903,1.1479339749669435,5.76,0.4
nm0065608,Walt Becker,4.0,4,17.681489645833423,18.864366069692732,1.615866513950467,5.65,1.0
nm0067457,Timur Bekmambetov,3.4285714285714284,7,17.013757678085394,18.339983889633462,1.950865487686411,5.857142857142857,0.8571428571428571
nm0074426,Bibo Bergeron,1.3333333333333333,3,17.989897843244528,18.870293835741606,1.180295686560151,6.533333333333334,0.3333333333333333
nm0075849,Shari Springer Berman,2.6666666666666665,3,16.08419420273091,16.710937830001402,1.0364259703596916,6.466666666666666,0.6666666666666666
nm0080220,Sanjay Leela Bhansali,3.0,4,16.150464481950877,17.148523580490977,1.2999646401668203,7.05,0.75
nm0080235,Vishal Bhardwaj,1.0,4,15.636019602421621,16.133723005293437,0.9382124115721833,6.825,0.25
nm0080333,Vikram Bhatt,2.6666666666666665,3,16.359733863442724,16.951004817371683,1.6917313874826005,3.5666666666666664,0.6666666666666666
nm0081540,Susanne Bier,1.0,4,16.626418204656567,16.058016930110835,0.7245423027759703,6.675,0.25
nm0082450,Paul Feig,3.0,4,17.544211530288905,19.083278185867925,1.7356476478694958,6.45,0.75
nm0082802,Mike Binder,2.6666666666666665,3,16.4304704091712,16.993994684610378,1.0830516449057492,6.966666666666666,0.6666666666666666
nm0083348,Brad Bird,3.0,4,18.787058470284894,20.10665436448873,1.654117435843129,7.475,0.75
nm0088955,Neill Blomkamp,4.0,3,17.98475644382341,19.11620709371008,1.5857198284532132,7.1000000000000005,1.0
nm0093051,Uwe Boll,0.0,6,16.979578188591,15.797939168898532,0.3094222638596713,3.15,0.0
nm0094080,Fedor Bondarchuk,2.6666666666666665,3,17.04763164905618,17.45278408988031,1.0290853048440158,5.933333333333334,0.6666666666666666
nm0094435,Bong Joon Ho,4.0,4,16.489659276356317,17.815367098983693,1.9082827278738534,7.5,1.0
nm0101047,David Bowers,2.0,4,17.73748391404757,18.27679482779982,1.2575862097234516,6.449999999999999,0.5
nm0103744,Tom Brady,0.0,3,16.79443576404934,16.9744885401814,0.6518121510692295,4.433333333333333,0.0
nm0108132,Craig Brewer,2.6666666666666665,3,16.56704593483601,17.301937765781556,1.1335257912659829,6.7,0.6666666666666666
nm0109359,Steven Brill,2.0,6,17.351627286652015,17.94426990430242,1.2694808272487614,5.516666666666667,0.5
nm0125803,Bobby Farrelly,2.2222222222222223,9,17.65137222400959,18.371177397528918,1.171434769667189,5.944444444444445,0.5555555555555556
nm0132709,Martin Campbell,1.6,5,18.569100757691327,19.34342070119385,1.1556957631014055,6.42,0.4
nm0138620,Joe Carnahan,2.0,4,17.49497081539831,18.218436451869554,1.2602516874478256,6.775,0.5
nm0139867,Steve Carr,3.3333333333333335,6,17.408246179048245,18.474073722709075,1.593497582907675,5.266666666666667,0.8333333333333334
nm0141961,Thomas Carter,4.0,3,16.77734133156672,18.19128573040323,1.7746967061846142,6.733333333333333,1.0
nm0142286,D.J. Caruso,2.0,6,17.53717985909475,18.321836683340134,1.1790505810099758,6.483333333333333,0.5
nm0149260,Alain Chabat,1.3333333333333333,3,17.555716662992758,17.991283585203252,0.8518566833959058,6.033333333333334,0.3333333333333333
nm0149446,Gurinder Chadha,2.6666666666666665,3,15.873898818105843,17.494133889058716,2.294405922501141,6.7,0.6666666666666666
nm0150802,Benny Chan,0.0,3,16.906553056777135,16.746284062088748,0.5898552140280116,6.133333333333333,0.0
nm0151125,Teddy Chan,0.0,3,17.01686565402448,14.734969465864554,0.10227568593390629,6.333333333333333,0.0
nm0151540,Jay Chandrasekhar,2.0,4,16.798664099944315,17.492870965621368,1.3627640197442648,6.025,0.5
